City,Total Accidents
Aaronsburg,12
Abbeville,204
Abbotsford,5
Abbott,2
Abbottstown,46
Aberdeen,558
Abernathy,1
Abilene,28
Abingdon,600
Abington,698
Abrams,3
Absarokee,13
Absecon,88
Acampo,424
Accident,37
Accokeek,122
Accomac,21
Accord,3
Ackley,1
Acme,32
Acoma,7
Acosta,2
Acra,4
Acton,959
Acushnet,1
Acworth,229
Ada,90
Adah,5
Adair,49
Adair Village,1
Adairsville,95
Adams,90
Adams Center,5
Adams Run,7
Adamsburg,7
Adamstown,32
Adamsville,7
Addis,9
Addison,684
Addy,3
Addyston,1
Adel,135
Adelanto,192
Adelphi,22
Adin,13
Adkins,1
Adrian,190
Advance,108
Afton,262
Agate,23
Agawam,1
Agency,6
Agoura Hills,428
Aguila,5
Aguilar,22
Ahoskie,30
Ahwahnee,59
Aiken,1043
Ailey,4
Ainsworth,14
Airmont,5
Airville,21
Airway Heights,10
Aitkin,165
Ajo,104
Akeley,88
Akron,1566
Alabaster,269
Alachua,347
Alameda,27
Alamo,699
Alamogordo,3
Alamosa,38
Alanson,19
Alapaha,6
Albany,2852
Albemarle,18
Albers,15
Albert City,6
Albert Lea,406
Alberta,126
Alberton,150
Albertson,31
Albertville,204
Albia,6
Albin,1
Albion,156
Albrightsville,7
Albuquerque,2040
Alburgh,4
Alburtis,1
Alcoa,30
Alcolu,190
Alcove,2
Alda,3
Aldan,8
Alden,74
Alder,1
Alder Creek,5
Alderpoint,24
Alderson,1
Aldie,208
Aldrich,12
Aledo,100
Alexander,49
Alexander City,15
Alexandria,3459
Alexandria Bay,6
Alexis,1
Alford,45
Alfred,2
Alfred Station,2
Alger,4
Algodones,13
Algona,1
Algonac,2
Algonquin,14
Alhambra,1107
Aliceville,4
Aliquippa,42
Aliso Viejo,145
Allegan,5
Allegany,8
Alleghany,2
Allen,285
Allen Park,254
Allendale,131
Allenhurst,3
Allenstown,1
Allensville,15
Allenton,35
Allentown,1146
Allenwood,141
Alleyton,7
Alliance,19
Allison,1
Allison Park,31
Allons,3
Allport,9
Allston,136
Allyn,16
Alma,94
Almond,8
Almont,4
Almyra,1
Alpaugh,9
Alpena,16
Alpha,25
Alpharetta,176
Alpine,108
Alpine Meadows,8
Alplaus,4
Alsea,45
Alsip,168
Alstead,1
Alta,496
Alta Vista,4
Altadena,452
Altamont,42
Altamonte Springs,617
Altavista,42
Altha,38
Altheimer,4
Altmar,4
Alto,42
Alton,51
Alton Bay,2
Altona,1
Altoona,1123
Altura,20
Alturas,99
Altus,5
Alum Bank,65
Alum Creek,11
Alva,170
Alvada,1
Alvarado,47
Alvaton,1
Alverda,1
Alverton,4
Alvin,11
Alviso,33
Alzada,18
Amador City,4
Amagansett,15
Amagon,3
Amana,4
Amanda,2
Amanda Park,2
Amargosa Valley,10
Amarillo,33
Amawalk,16
Amazonia,4
Ambler,650
Amboy,39
Ambridge,24
Ambrose,4
Amelia,22
Amelia Court House,190
Amenia,49
American Canyon,372
American Falls,15
American Fork,365
Americus,7
Amery,2
Ames,184
Amesbury,23
Amherst,190
Amherst Junction,2
Amidon,6
Amissville,13
Amite,1
Amity,78
Amityville,137
Amma,7
Amsterdam,162
Amston,13
Anacoco,1
Anaconda,186
Anacortes,52
Anaheim,6751
Anaheim-Santa Ana-Garden Grove,2
Anahuac,5
Analomink,1
Anamoose,2
Anamosa,21
Anatone,2
Ancram,38
Ancramdale,4
Andalusia,27
Anderson,4325
Andersonville,46
Andes,8
Andover,494
Andreas,3
Andrews,223
Andrews Air Force Base,84
Aneta,2
Aneth,19
Angel Fire,1
Angels Camp,151
Angier,76
Angleton,22
Angola,89
Angora,19
Angwin,57
Anita,70
Aniwa,2
Ankeny,180
Ann Arbor,733
Anna,55
Anna Maria,4
Annandale,772
Annapolis,781
Annapolis Junction,86
Anniston,93
Annville,203
Anoka,536
Ansley,2
Anson,1
Ansonia,36
Ansted,2
Antelope,680
Anthem,6
Anthony,40
Antigo,2
Antimony,5
Antioch,3909
Anton,2
Anton Chico,4
Antonito,11
Antrim,2
Antwerp,2
Apache Junction,78
Apalachin,16
Apex,810
Apison,48
Apollo,98
Apollo Beach,271
Apopka,1088
Apple Creek,3
Apple Valley,420
Applegate,87
Appleton,225
Appling,14
Appomattox,44
Aptos,721
Aquasco,1
Arab,23
Arabi,17
Arapahoe,3
Ararat,11
Arbuckle,185
Arbyrd,2
Arcade,8
Arcadia,1121
Arcadia West,2
Arcanum,12
Arcata,276
Arch Cape,18
Archbald,12
Archbold,41
Archdale,3
Archer,75
Archer City,4
Arco,7
Arcola,19
Ardara,5
Arden,573
Ardmore,234
Ardsley,119
Argenta,3
Argos,7
Argusville,43
Argyle,93
Ariel,15
Arimo,2
Aripeka,2
Ariton,16
Arkadelphia,145
Arkansas City,1
Arlee,60
Arleta,67
Arlington,5084
Arlington Heights,180
Armagh,2
Armbrust,1
Armington,1
Armona,86
Armonk,147
Armstrong,5
Armuchee,13
Arnegard,1
Arnold,315
Arnoldsville,3
Aromas,236
Arona,8
Arrey,3
Arriba,8
Arrington,53
Arroyo Grande,517
Artesia,244
Arthur,2
Artois,7
Arundel,1
Arvada,260
Arverne,4
Arvilla,6
Arvin,389
Asbury,78
Asbury Park,72
Ash,15
Ash Flat,3
Ash Fork,146
Ash Grove,18
Ashaway,26
Ashburn,879
Ashburnham,1
Ashby,230
Ashdown,9
Asheboro,117
Asheville,2237
Ashford,22
Ashkum,22
Ashland,2046
Ashland City,16
Ashley,28
Ashtabula,26
Ashton,11
Ashuelot,2
Ashville,106
Askov,30
Aspen,48
Aspers,25
Aspinwall,2
Assawoman,3
Assonet,17
Astatula,10
Aston,175
Astor,60
Astoria,710
Atalissa,17
Atascadero,242
Atascosa,4
Atco,26
Atglen,36
Athena,22
Athens,721
Atherton,41
Athol,7
Atkins,156
Atkinson,17
Atlanta,16203
Atlanta-Decatur,5
Atlantic,82
Atlantic Beach,6
Atlantic City,86
Atlantic Highlands,5
Atlantic Mine,1
Atlas,3
Atmore,92
Atoka,3
Attalla,41
Attica,26
Attleboro,161
Attleboro Falls,59
Atwater,811
Atwood,17
Auberry,156
Aubrey,1
Auburn,2088
Auburn Hills,164
Auburndale,134
Auburntown,2
Audubon,33
Augusta,2865
Ault,25
Aumsville,62
Aurora,1530
Austell,363
Austerlitz,16
Austin,21171
Austinburg,8
Austinville,196
Autaugaville,24
Autryville,19
Auxvasse,9
Ava,6
Avalon,1
Avalon-Mulat,24
Ave Maria,2
Avella,21
Avenal,133
Avenel,64
Aventura,524
Averill Park,72
Avery,6
Avila Beach,60
Avilla,1
Avis,11
Avoca,71
Avon,437
Avon By the Sea,2
Avon Park,187
Avondale,807
Avondale Estates,37
Avonmore,16
Awendaw,12
Axis,3
Axson,2
Axtell,1
Axton,30
Ayden,22
Ayer,13
Aylett,28
Aynor,176
Azalea,84
Azle,5
Aztec,1
Azusa,1466
Babb,26
Babson Park,2
Babylon,47
Backus,69
Baconton,12
Baden,9
Badger,22
Bagdad,3
Bagley,50
Bahama,2
Bailey,115
Baileys Harbor,7
Baileyton,8
Bainbridge,54
Bainbridge Island,2
Bainville,4
Baird,6
Baker,436
Baker City,668
Bakers Mills,5
Bakersfield,9034
Bakersville,12
Bal Harbour,55
Bala Cynwyd,668
Balaton,26
Balch Springs,464
Bald Knob,25
Baldwin,115
Baldwin City,1
Baldwin Park,2922
Baldwin Place,16
Baldwinsville,35
Baldwinville,1
Ball Ground,19
Ballantine,37
Ballard,1
Ballico,53
Ballston Lake,112
Ballston Spa,494
Ballwin,42
Balmorhea,11
Balsam Grove,4
Baltimore,2467
Bamberg,103
Bancroft,16
Bandon,113
Bandy,4
Bangor,72
Banks,180
Bankston,2
Banner,14
Banner Elk,13
Bannockburn,3
Bapchule,72
Bar Harbor,1
Baraboo,56
Barberton,58
Barboursville,180
Barclay,10
Barco,4
Bard,4
Bardstown,5
Bardwell,3
Bargersville,2
Barhamsville,31
Baring,4
Barker,5
Barkhamsted,3
Barksdale,3
Barksdale AFB,14
Barling,4
Barnardsville,2
Barnegat,61
Barnesville,144
Barnet,1
Barnett,3
Barneveld,23
Barney,23
Barnhart,29
Barnhill,10
Barnstead,1
Barnum,65
Barnwell,176
Barren Springs,2
Barrett,7
Barrington,655
Barry,6
Barstow,361
Bartlett,286
Barto,26
Barton,4
Bartonsville,17
Bartow,90
Basalt,1
Bascom,15
Basehor,14
Basin,20
Baskerville,22
Basking Ridge,119
Basom,1
Bass Lake,48
Bassett,99
Bastian,66
Bastrop,8
Basye,3
Batavia,363
Bates,39
Bates City,56
Batesburg,146
Batesburg-Leesville,180
Batesville,67
Bath,55
Baton Rouge,22832
Battle Creek,263
Battle Ground,29
Battle Lake,40
Battle Mountain,52
Battleboro,46
Battlefield,4
Baudette,25
Bauxite,3
Baxley,8
Baxter,83
Bay,16
Bay City,119
Bay Harbor Islands,24
Bay Minette,134
Bay Pines,1
Bay Point,217
Bay Saint Louis,29
Bay Shore,400
Bay Springs,2
Bay St Louis,32
Bayard,4
Bayboro,2
Bayfield,14
Bayonne,180
Bayou La Batre,1
Bayport,73
Bayside,496
Bayside Hills,1
Baytown,141
Bayville,60
Beach City,10
Beach Haven,1
Beach Lake,2
Beach Park,77
Beachwood,145
Beacon,216
Beacon Falls,58
Beale AFB,5
Bealeton,288
Beallsville,9
Bean Station,3
Bear,228
Bear Creek,7
Bear Creek Township,8
Bear Lake,2
Bear Mountain,17
Bearcreek,3
Bearden,14
Beasley,7
Beatrice,5
Beatty,22
Beattyville,2
Beaufort,724
Beaumont,64
Beaver,273
Beaver Creek,7
Beaver Crossing,18
Beaver Dam,3
Beaver Falls,79
Beaver Springs,67
Beavercreek,10
Beavercreek Township,1
Beaverdale,3
Beaverdam,8
Beaverton,472
Beavertown,31
Beccaria,2
Bechtelsville,15
Becker,65
Becket,7
Beckley,186
Beckwourth,24
Bedford,963
Bedford Hills,52
Bedminster,269
Bee Branch,1
Bee Cave,4
Beebe,34
Beech Creek,71
Beech Grove,104
Beech Island,275
Beecher,9
Beechgrove,13
Beersheba Springs,4
Beeville,2
Beggs,1
Bejou,1
Bel Air,278
Bel Alton,4
Belcamp,14
Belcher,7
Belchertown,2
Belcourt,1
Belden,31
Belding,9
Belen,3
Belews Creek,15
Belfair,64
Belfast,1
Belfield,18
Belford,1
Belfry,6
Belgium,5
Belgrade,370
Belhaven,10
Belington,9
Bell,68
Bell Buckle,2
Bell Canyon,8
Bell Gardens,1323
Bella Vista,173
Bellaire,217
Bellbrook,6
Belle,50
Belle Center,10
Belle Fourche,5
Belle Glade,23
Belle Haven,4
Belle Isle,3
Belle Plaine,94
Belle Valley,1
Belle Vernon,136
Belleair,6
Belleair Beach,17
Belleair Bluffs,6
Bellefontaine,14
Bellefonte,639
Bellemont,40
Bellerose,331
Belleview,225
Belleville,439
Bellevue,1129
Bellflower,891
Bellingham,321
Bellmawr,857
Bellmore,320
Bellows Falls,4
Bellport,54
Bells,11
Bellville,9
Bellvue,18
Bellwood,148
Belmar,178
Belmond,5
Belmont,616
Belmont Hills,1
Beloit,51
Belpre,6
Belsano,5
Belspring,2
Belt,34
Belton,714
Beltsville,523
Belvedere Tiburon,44
Belvedere-Tiburon,7
Belvidere,70
Belview,13
Belzoni,3
Bemidji,241
Bemus Point,1
Ben Lomond,174
Bena,16
Benbrook,1
Bend,1291
Bendersville,1
Benedict,5
Benezett,5
Benicia,419
Bennet,5
Bennett,78
Bennettsville,404
Bennington,8
Bensalem,498
Bensenville,324
Benson,271
Bent Mountain,1
Bentleyville,50
Benton,547
Benton City,4
Benton Harbor,263
Bentonia,1
Bentonville,166
Benwood,8
Berea,12
Beresford,2
Bergen,65
Bergenfield,4
Bergholz,5
Bergton,9
Berkeley,2017
Berkeley Heights,58
Berkeley Springs,28
Berkley,9
Berlin,597
Berlin Center,1
Berlin Heights,13
Bern,2
Bernalillo,7
Bernard,3
Bernardston,2
Bernardsville,1
Berne,7
Bernhards Bay,2
Bernville,100
Berrien Springs,30
Berry,28
Berry Creek,68
Berryville,229
Bertha,2
Berthold,8
Berthoud,75
Bertrand,5
Berwick,151
Berwyn,461
Berwyn Heights,2
Beryl,12
Bessemer,392
Bessemer City,50
Bethany,39
Bethany Beach,2
Bethel,181
Bethel Heights,1
Bethel Island,33
Bethel Park,6
Bethesda,1915
Bethlehem,853
Bethpage,66
Bethune,74
