City,start_month,Total Accidents
Aaronsburg,2,1
Aaronsburg,4,1
Aaronsburg,6,7
Aaronsburg,9,3
Abbeville,1,20
Abbeville,2,21
Abbeville,3,16
Abbeville,4,16
Abbeville,5,14
Abbeville,6,18
Abbeville,7,19
Abbeville,8,15
Abbeville,9,23
Abbeville,10,8
Abbeville,11,17
Abbeville,12,17
Abbotsford,2,1
Abbotsford,3,1
Abbotsford,6,1
Abbotsford,7,1
Abbotsford,11,1
Abbott,4,2
Abbottstown,1,7
Abbottstown,2,8
Abbottstown,3,2
Abbottstown,4,6
Abbottstown,5,5
Abbottstown,6,3
Abbottstown,7,2
Abbottstown,8,6
Abbottstown,9,3
Abbottstown,10,1
Abbottstown,11,1
Abbottstown,12,2
Aberdeen,1,61
Aberdeen,2,50
Aberdeen,3,23
Aberdeen,4,42
Aberdeen,5,47
Aberdeen,6,42
Aberdeen,7,45
Aberdeen,8,59
Aberdeen,9,31
Aberdeen,10,47
Aberdeen,11,45
Aberdeen,12,66
Abernathy,2,1
Abilene,1,3
Abilene,2,6
Abilene,3,3
Abilene,4,1
Abilene,6,1
Abilene,8,1
Abilene,9,7
Abilene,11,1
Abilene,12,5
Abingdon,1,77
Abingdon,2,50
Abingdon,3,30
Abingdon,4,39
Abingdon,5,61
Abingdon,6,58
Abingdon,7,68
Abingdon,8,56
Abingdon,9,43
Abingdon,10,28
Abingdon,11,51
Abingdon,12,39
Abington,1,63
Abington,2,55
Abington,3,76
Abington,4,67
Abington,5,36
Abington,6,76
Abington,7,58
Abington,8,49
Abington,9,30
Abington,10,41
Abington,11,55
Abington,12,92
Abrams,7,1
Abrams,11,2
Absarokee,1,1
Absarokee,2,2
Absarokee,7,2
Absarokee,8,2
Absarokee,9,2
Absarokee,10,2
Absarokee,11,2
Absecon,1,10
Absecon,2,10
Absecon,3,3
Absecon,4,3
Absecon,5,2
Absecon,6,2
Absecon,7,13
Absecon,8,11
Absecon,9,10
Absecon,10,11
Absecon,11,10
Absecon,12,3
Acampo,1,63
Acampo,2,45
Acampo,3,35
Acampo,4,25
Acampo,5,34
Acampo,6,35
Acampo,7,30
Acampo,8,34
Acampo,9,23
Acampo,10,29
Acampo,11,28
Acampo,12,43
Accident,1,1
Accident,2,2
Accident,4,4
Accident,6,6
Accident,8,6
Accident,9,4
Accident,10,7
Accident,11,2
Accident,12,5
Accokeek,1,23
Accokeek,2,9
Accokeek,3,5
Accokeek,4,6
Accokeek,5,12
Accokeek,6,4
Accokeek,7,16
Accokeek,8,12
Accokeek,9,5
Accokeek,10,6
Accokeek,11,11
Accokeek,12,13
Accomac,1,4
Accomac,2,4
Accomac,4,2
Accomac,6,3
Accomac,7,2
Accomac,8,1
Accomac,9,1
Accomac,10,1
Accomac,11,1
Accomac,12,2
Accord,5,1
Accord,9,2
Ackley,10,1
Acme,2,1
Acme,3,7
Acme,4,3
Acme,6,4
Acme,7,4
Acme,8,2
Acme,9,9
Acme,11,1
Acme,12,1
Acoma,1,2
Acoma,2,1
Acoma,4,1
Acoma,12,3
Acosta,10,2
Acra,6,3
Acra,7,1
Acton,1,124
Acton,2,155
Acton,3,83
Acton,4,78
Acton,5,50
Acton,6,83
Acton,7,59
Acton,8,69
Acton,9,69
Acton,10,47
Acton,11,53
Acton,12,89
Acushnet,5,1
Acworth,1,29
Acworth,2,32
Acworth,3,19
Acworth,4,12
Acworth,5,17
Acworth,6,12
Acworth,7,15
Acworth,8,6
Acworth,9,7
Acworth,10,18
Acworth,11,37
Acworth,12,25
Ada,1,11
Ada,2,5
Ada,3,4
Ada,4,6
Ada,5,4
Ada,6,3
Ada,7,9
Ada,8,15
Ada,9,12
Ada,10,6
Ada,11,7
Ada,12,8
Adah,5,2
Adah,10,3
Adair,1,15
Adair,2,6
Adair,3,4
Adair,4,3
Adair,5,3
Adair,6,2
Adair,8,2
Adair,9,1
Adair,10,1
Adair,11,8
Adair,12,4
Adair Village,1,1
Adairsville,1,6
Adairsville,2,15
Adairsville,3,21
Adairsville,5,5
Adairsville,6,2
Adairsville,7,9
Adairsville,8,2
Adairsville,9,7
Adairsville,10,1
Adairsville,11,13
Adairsville,12,14
Adams,1,27
Adams,2,18
Adams,3,5
Adams,4,2
Adams,5,1
Adams,6,4
Adams,7,4
Adams,8,6
Adams,9,3
Adams,10,7
Adams,11,3
Adams,12,10
Adams Center,5,2
Adams Center,6,3
Adams Run,2,2
Adams Run,4,1
Adams Run,5,1
Adams Run,7,1
Adams Run,9,2
Adamsburg,3,4
Adamsburg,6,3
Adamstown,1,4
Adamstown,2,3
Adamstown,5,13
Adamstown,7,1
Adamstown,8,5
Adamstown,10,3
Adamstown,11,3
Adamsville,4,1
Adamsville,5,2
Adamsville,6,1
Adamsville,9,2
Adamsville,12,1
Addis,1,1
Addis,3,2
Addis,5,1
Addis,7,1
Addis,10,4
Addison,1,79
Addison,2,91
Addison,3,45
Addison,4,48
Addison,5,65
Addison,6,68
Addison,7,53
Addison,8,77
Addison,9,61
Addison,10,29
Addison,11,32
Addison,12,36
