Vehicle_Make,Vehicle_Model,Vehicle_Year,Vehicle_Value,Severity,Damage_Type,Num_Vehicles_Involved,Road_Type,Time_Hour,Injuries,Repair_Cost,Medical_Cost,Total_Cost
Subaru,Outback,2018,10979,4,Severe,4,Rural,13,6,20928,95365,249721
Mercedes-Benz,C-Class,2016,13721,3,Moderate,4,Highway,22,6,11586,13821,90747
Toyota,Corolla,2016,5812,2,Severe,3,Highway,17,4,17615,13686,65599
Tesla,Model Y,2023,45606,1,Minor,2,Highway,3,0,9709,1373,19700
Mazda,CX-5,2019,15939,4,Severe,1,Residential,17,1,23128,124462,134391
Honda,Accord,2015,6665,3,Severe,3,Urban,23,1,18399,37911,139160
Chevrolet,Silverado,2021,22199,3,Severe,2,Highway,22,1,30983,24985,110065
BMW,3 Series,2018,16072,4,Total Loss,2,Residential,12,0,15268,88123,119632
Jeep,Wrangler,2017,10641,4,Total Loss,3,Rural,7,1,10108,89359,161415
Nissan,Altima,2022,21510,2,Severe,1,Rural,17,1,25324,13087,37022
Nissan,Altima,2015,5263,4,Total Loss,3,Highway,5,5,4999,141030,381437
Tesla,Model Y,2021,31229,3,Moderate,1,Urban,14,2,21863,14604,48032
Ford,F-150,2016,11216,3,Total Loss,3,Highway,10,6,10655,19449,59302
Honda,Civic,2022,16574,2,Moderate,1,Rural,4,0,8977,7510,22621
Toyota,Corolla,2016,6377,3,Total Loss,2,Highway,9,3,6058,22364,50531
Hyundai,Elantra,2021,14901,3,Severe,4,Urban,20,6,21705,21094,94185
Toyota,Camry,2020,10929,1,Minor,3,Rural,11,0,2374,1368,5746
Nissan,Altima,2016,8475,3,Severe,2,Highway,2,3,19068,29625,114311
Tesla,Model 3,2022,34501,1,Minor,4,Urban,14,0,7710,2358,24013
Subaru,Outback,2018,13881,4,Severe,2,Highway,9,0,22495,96289,183931
Mercedes-Benz,C-Class,2019,17848,1,Minor,1,Residential,9,0,4355,3171,7029
Subaru,Outback,2023,26197,1,Minor,3,Residential,4,0,3857,1829,10728
Mazda,CX-5,2018,11188,1,Moderate,3,Urban,6,0,7852,2912,18949
Hyundai,Elantra,2021,12864,2,Severe,1,Urban,6,2,20788,10579,35773
Tesla,Model Y,2023,52180,1,Minor,1,Residential,8,0,10892,1369,10695
Mazda,CX-5,2021,19350,1,Minor,4,Rural,10,0,3144,1959,8906
Nissan,Altima,2023,25907,1,Minor,1,Rural,21,0,3572,2768,5928
Toyota,Camry,2024,28557,2,Moderate,3,Highway,8,4,11853,4775,33122
Hyundai,Elantra,2020,9589,2,Moderate,2,Residential,18,1,7157,12840,21669
Nissan,Altima,2015,6682,2,Moderate,2,Residential,3,4,6603,10884,26516
Nissan,Altima,2024,31763,1,Minor,4,Urban,19,0,4041,3327,14233
Chevrolet,Silverado,2017,18987,1,Minor,2,Highway,19,0,3778,3524,10598
Toyota,Corolla,2016,6761,2,Minor,2,Rural,2,3,2007,6477,12292
Honda,Civic,2019,11040,4,Total Loss,3,Urban,21,4,10488,73966,166118
Toyota,Corolla,2018,9733,2,Moderate,4,Residential,17,2,7189,11425,35811
Hyundai,Elantra,2017,8524,1,Minor,2,Rural,16,0,2139,2664,6326
Hyundai,Elantra,2020,13589,4,Total Loss,4,Highway,10,4,12909,91860,288887
Toyota,Camry,2018,10207,2,Moderate,2,Highway,2,2,7449,12782,44702
Mercedes-Benz,C-Class,2021,35004,3,Severe,1,Residential,8,1,48603,29703,80725
Subaru,Outback,2016,9706,2,Moderate,3,Residential,19,2,7620,5653,17963
BMW,3 Series,2022,38862,1,Minor,3,Residential,19,0,7329,2985,13508
Tesla,Model Y,2021,32340,2,Severe,3,Urban,18,0,49927,8328,114693
Tesla,Model 3,2022,32235,1,Minor,2,Urban,19,0,7302,2219,12616
Tesla,Model Y,2020,33829,4,Total Loss,4,Rural,11,2,32137,109755,238173
BMW,3 Series,2019,19974,4,Total Loss,1,Highway,18,0,18975,111124,182401
Jeep,Wrangler,2016,8087,4,Total Loss,1,Rural,15,0,7682,121163,116910
Chevrolet,Silverado,2015,14076,4,Total Loss,2,Urban,14,0,13372,48095,93150
Nissan,Altima,2018,10840,4,Total Loss,1,Rural,13,1,10298,80504,98639
Tesla,Model 3,2018,16882,2,Severe,2,Highway,2,1,33232,8031,93967
Toyota,Corolla,2017,7246,3,Moderate,4,Highway,13,7,6630,40097,132020
Honda,Civic,2018,8207,2,Moderate,2,Highway,17,3,6969,13470,32519
Toyota,Corolla,2024,21710,3,Moderate,3,Rural,20,1,9884,38697,93384
Hyundai,Elantra,2024,19251,1,Minor,1,Highway,9,0,2943,1200,5719
Ford,F-150,2020,19109,1,Minor,1,Residential,0,0,3793,1051,4926
Nissan,Altima,2023,24621,2,Minor,3,Rural,21,4,3469,10039,20910
Subaru,Outback,2016,9499,3,Moderate,3,Urban,5,6,7564,27168,80910
Jeep,Wrangler,2020,15724,3,Total Loss,1,Highway,4,1,14937,31934,81475
Mazda,CX-5,2022,17852,1,Moderate,1,Urban,0,0,9552,1891,16646
Nissan,Altima,2018,8416,4,Total Loss,3,Highway,23,0,7995,111870,272599
Tesla,Model 3,2019,19998,4,Total Loss,4,Urban,22,2,18998,47622,153157
Tesla,Model Y,2022,45102,2,Severe,4,Rural,1,2,63710,13672,165988
BMW,3 Series,2016,13388,4,Severe,4,Highway,21,2,27049,75700,261414
BMW,3 Series,2022,38376,2,Severe,3,Residential,17,5,49538,7454,78548
Chevrolet,Silverado,2021,27315,1,Minor,1,Urban,14,0,4777,3522,9884
Toyota,Camry,2016,7041,3,Severe,1,Residential,21,2,18379,22107,39849
Subaru,Outback,2018,13183,4,Total Loss,2,Residential,11,4,12523,92247,127909
Toyota,Corolla,2023,22938,4,Severe,4,Highway,3,7,25322,118366,497256
Ford,F-150,2020,22818,4,Severe,3,Urban,21,4,31428,143093,296314
BMW,3 Series,2022,28943,3,Severe,2,Highway,10,2,41048,34693,134599
Nissan,Altima,2020,14870,4,Total Loss,3,Urban,7,4,14126,61051,126888
Nissan,Altima,2024,25537,2,Severe,3,Highway,1,0,27257,9007,96363
Ford,F-150,2023,33529,4,Total Loss,1,Urban,23,1,31852,112997,215537
Jeep,Wrangler,2018,12066,1,Minor,1,Highway,15,0,2827,1828,6245
BMW,3 Series,2019,22743,1,Moderate,4,Highway,14,0,15234,1933,39602
Toyota,Camry,2016,7831,4,Total Loss,3,Urban,17,2,7439,78423,138815
Honda,Accord,2020,14375,3,Moderate,1,Residential,11,1,8665,18591,30369
Chevrolet,Silverado,2018,14928,3,Severe,1,Urban,0,2,25748,33699,93488
Nissan,Altima,2020,11015,4,Total Loss,4,Highway,16,2,10464,118855,323965
Ford,F-150,2024,58668,2,Minor,3,Urban,14,5,8540,13501,36089
Honda,Accord,2018,12950,4,Total Loss,4,Highway,20,5,12302,70556,181382
Subaru,Outback,2019,16081,1,Minor,1,Residential,18,0,2947,1701,4375
Mercedes-Benz,C-Class,2024,47002,3,Total Loss,1,Residential,19,1,44651,12688,50570
BMW,3 Series,2020,19408,2,Severe,3,Highway,0,6,32467,7918,112313
Ford,F-150,2019,20425,4,Total Loss,3,Urban,15,1,19403,131019,233596
Subaru,Outback,2021,18157,4,Total Loss,4,Rural,6,0,17249,96717,229525
BMW,3 Series,2024,51347,4,Severe,1,Residential,23,1,61212,84835,177830
Chevrolet,Silverado,2018,13221,3,Moderate,3,Urban,20,1,9759,35158,96126
Subaru,Outback,2024,32077,4,Total Loss,3,Residential,5,4,30473,90571,185903
BMW,3 Series,2020,23888,4,Total Loss,4,Rural,12,8,22693,59227,174668
Toyota,Camry,2017,8650,4,Severe,1,Highway,12,2,19152,50533,107923
Toyota,Camry,2018,11748,2,Moderate,2,Highway,1,2,7819,4299,21237
Toyota,Camry,2021,15290,3,Moderate,4,Rural,10,8,8669,24736,79287
Jeep,Wrangler,2024,40578,1,Minor,3,Urban,16,0,5963,3173,17072
Tesla,Model Y,2021,39067,2,Moderate,3,Residential,6,5,26096,13642,54999
Honda,Accord,2016,8704,3,Severe,1,Urban,17,0,19439,43992,69787
Subaru,Outback,2016,9802,3,Severe,2,Rural,5,2,20293,24319,74695
Ford,F-150,2015,13157,3,Total Loss,3,Highway,14,4,12499,38239,117899
Subaru,Outback,2021,16184,3,Severe,1,Highway,19,2,23739,36535,86458
Honda,Civic,2015,5003,2,Moderate,2,Urban,8,4,6200,14059,28264
Toyota,Camry,2015,7005,1,Minor,2,Highway,12,0,2060,1742,5677
Toyota,Corolla,2024,24448,4,Total Loss,4,Rural,7,6,23225,88170,226656
Mercedes-Benz,C-Class,2019,19992,3,Severe,2,Residential,1,3,34192,34463,100127
Subaru,Outback,2019,16615,4,Severe,2,Rural,17,0,23972,46443,97483
Hyundai,Elantra,2020,10220,4,Severe,2,Residential,4,4,19599,111287,212138
Toyota,Camry,2024,33820,1,Minor,2,Urban,16,0,4205,2684,10466
Tesla,Model Y,2024,49209,1,Minor,2,Residential,1,0,10357,1713,15490
Jeep,Wrangler,2022,32216,1,Moderate,2,Residential,13,0,15631,3246,25245
Hyundai,Elantra,2022,14285,4,Total Loss,3,Highway,0,0,13570,93967,296019
Tesla,Model Y,2020,27685,2,Moderate,3,Highway,4,0,19949,8121,73996
Tesla,Model Y,2022,43045,4,Total Loss,3,Rural,15,0,40892,80231,199955
Toyota,Corolla,2020,10596,2,Severe,3,Rural,2,5,19768,14289,58177
Ford,F-150,2017,18264,1,Moderate,3,Highway,11,0,11575,1461,26118
Hyundai,Elantra,2019,9375,4,Total Loss,1,Highway,23,1,8906,84911,173146
Honda,Accord,2021,13634,3,Severe,2,Residential,1,0,21953,41114,106198
Toyota,Corolla,2021,14600,4,Total Loss,1,Urban,14,1,13870,93926,136341
Tesla,Model 3,2022,30324,4,Total Loss,1,Highway,21,2,28807,67691,131903
Mazda,CX-5,2022,25640,1,Minor,1,Urban,7,0,3679,3163,7506
Toyota,Camry,2020,13585,4,Total Loss,1,Rural,12,0,12905,98353,100810
Toyota,Corolla,2016,5526,3,Total Loss,2,Residential,16,3,5249,40889,62394
Honda,Accord,2024,28345,4,Total Loss,3,Urban,2,3,26927,47922,164993
BMW,3 Series,2021,32818,3,Moderate,2,Rural,6,0,19768,39103,67228
Honda,Civic,2022,15797,1,Minor,3,Rural,8,0,2763,3564,10312
Ford,F-150,2015,13134,2,Minor,1,Highway,22,0,3076,5099,13602
Hyundai,Elantra,2021,13396,4,Severe,1,Residential,18,2,21028,86493,105057
Toyota,Corolla,2017,7079,3,Severe,4,Residential,8,4,18185,13430,61798
Tesla,Model 3,2021,24977,1,Minor,1,Highway,4,0,5995,1459,12180
Honda,Accord,2015,5339,1,Minor,4,Urban,9,0,1953,1097,7098
Subaru,Outback,2018,11845,2,Moderate,4,Rural,12,8,8198,6047,24510
Tesla,Model Y,2020,29607,4,Total Loss,4,Highway,4,2,28126,42249,217619
Toyota,Camry,2021,20163,1,Minor,3,Residential,5,0,3113,2890,10387
Mercedes-Benz,C-Class,2018,20977,2,Moderate,1,Rural,0,0,15068,6025,27447
Honda,Civic,2022,18749,1,Minor,4,Urban,3,0,2999,2114,10996
Jeep,Wrangler,2021,24611,2,Minor,2,Residential,19,1,4207,13353,23103
Ford,F-150,2023,38616,4,Total Loss,1,Rural,23,2,36685,143857,205488
Toyota,Corolla,2020,13907,3,Moderate,3,Urban,10,3,8129,41974,100274
BMW,3 Series,2017,17356,2,Severe,2,Rural,23,1,30620,13687,63661
Honda,Civic,2018,8441,2,Minor,2,Highway,16,1,2175,10884,25234
Chevrolet,Silverado,2022,24324,2,Moderate,4,Residential,20,4,13756,7573,35287
Jeep,Wrangler,2015,9765,3,Moderate,3,Rural,15,2,8222,31457,75920
Chevrolet,Silverado,2021,29520,2,Minor,3,Residential,14,1,5042,9552,20335
Subaru,Outback,2020,14321,2,Minor,1,Residential,12,1,2788,9658,10911
Honda,Accord,2024,33815,3,Moderate,2,Residential,4,1,13622,25022,68640
Ford,F-150,2019,28577,1,Moderate,1,Urban,17,0,15287,3116,21900
Tesla,Model Y,2023,48141,4,Total Loss,2,Rural,7,1,45733,140083,224710
BMW,3 Series,2022,35934,2,Minor,1,Urban,22,2,6890,13017,24608
Tesla,Model 3,2023,35828,1,Minor,2,Highway,9,0,7949,3268,21321
Chevrolet,Silverado,2018,20665,4,Total Loss,1,Rural,16,0,19631,140629,185585
Chevrolet,Silverado,2023,56455,3,Severe,3,Urban,7,5,55647,31485,170499
BMW,3 Series,2015,11770,1,Minor,1,Residential,4,0,3265,2580,5908
Toyota,Corolla,2017,5888,1,Minor,1,Residential,22,0,1941,1043,3107
Tesla,Model Y,2023,48314,4,Total Loss,2,Urban,0,3,45898,141716,356728
Tesla,Model Y,2024,64719,4,Total Loss,3,Highway,22,0,61483,63886,322134
Honda,Accord,2017,10463,3,Moderate,4,Rural,6,1,7668,30577,81041
Tesla,Model 3,2021,30727,2,Severe,2,Urban,7,2,48185,9384,86649
Ford,F-150,2022,37627,4,Total Loss,2,Residential,11,2,35745,74869,123230
Tesla,Model 3,2022,31701,4,Total Loss,4,Urban,22,1,30115,101540,295775
Subaru,Outback,2023,24117,3,Severe,2,Rural,8,3,28023,39983,105719
Subaru,Outback,2020,19811,3,Severe,3,Residential,17,5,25697,20173,67701
Mercedes-Benz,C-Class,2023,49282,4,Total Loss,2,Rural,15,3,46817,60068,131688
Mercedes-Benz,C-Class,2016,13728,4,Total Loss,1,Urban,17,0,13041,88180,128958
Chevrolet,Silverado,2017,21069,1,Minor,1,Residential,12,0,4028,1654,4443
Chevrolet,Silverado,2015,8729,1,Moderate,4,Residential,21,0,8142,1802,17139
Tesla,Model Y,2022,42118,3,Severe,2,Residential,20,0,60487,25926,117237
Tesla,Model Y,2022,34407,3,Severe,1,Urban,17,0,52159,14737,81674
Hyundai,Elantra,2022,19204,2,Minor,4,Urban,11,4,2940,9899,27753
Toyota,Corolla,2020,11078,4,Total Loss,2,Urban,14,2,10524,135566,202050
Honda,Accord,2019,13246,2,Minor,2,Highway,11,4,2625,4034,12492
Mazda,CX-5,2019,15839,2,Moderate,4,Urban,6,8,9038,5353,31678
Hyundai,Elantra,2020,9590,3,Moderate,4,Urban,16,6,7157,41434,94362
Tesla,Model Y,2023,54444,3,Severe,1,Urban,6,0,73799,39821,133596
BMW,3 Series,2021,29688,3,Severe,3,Rural,10,2,41719,14043,86389
Honda,Civic,2015,5071,1,Moderate,4,Rural,7,0,6217,2560,18134
Jeep,Wrangler,2020,15808,1,Moderate,1,Rural,2,0,10216,2913,14055
Honda,Civic,2019,9536,1,Minor,2,Rural,0,0,2262,3187,9071
Honda,Civic,2023,24440,4,Total Loss,4,Rural,4,2,23218,80240,252998
Subaru,Outback,2017,10637,4,Total Loss,3,Highway,16,0,10105,74737,180748
Hyundai,Elantra,2017,8908,3,Total Loss,1,Urban,21,0,8462,31744,51938
Hyundai,Elantra,2018,9701,1,Minor,4,Residential,19,0,2227,2854,9391
Tesla,Model Y,2024,49646,2,Severe,4,Highway,19,0,68617,8528,206231
BMW,3 Series,2023,43644,2,Moderate,3,Residential,3,2,24639,5878,58883
Mazda,CX-5,2016,8899,2,Severe,2,Rural,17,4,19538,11210,35056
Honda,Civic,2021,12460,1,Minor,4,Residential,14,0,2496,1858,6547
Tesla,Model Y,2021,27735,4,Severe,4,Rural,23,5,44953,129782,353437
Mercedes-Benz,C-Class,2023,34274,1,Minor,4,Rural,3,0,6983,1077,16757
Nissan,Altima,2020,12630,2,Severe,3,Rural,19,0,21062,13280,61042
Hyundai,Elantra,2017,6325,4,Total Loss,3,Residential,5,1,6008,42696,90813
Chevrolet,Silverado,2016,18049,2,Severe,4,Highway,9,2,27995,10200,98443
Tesla,Model 3,2023,43700,3,Severe,4,Rural,11,1,62196,37659,204688
Toyota,Corolla,2024,24090,2,Minor,2,Urban,3,1,3306,8916,17836
Honda,Accord,2022,19099,2,Moderate,1,Rural,5,1,9870,12915,26641
Nissan,Altima,2021,19106,1,Moderate,3,Residential,17,0,9585,2475,17325
Nissan,Altima,2016,6549,1,Minor,1,Urban,10,0,2023,1161,3854
Chevrolet,Silverado,2024,54796,3,Severe,1,Highway,5,2,54453,42037,161276
Toyota,Corolla,2022,18011,3,Total Loss,3,Urban,2,0,17110,37047,114890
Mercedes-Benz,C-Class,2020,22029,1,Minor,3,Residential,6,0,5024,2606,12233
Tesla,Model Y,2020,30712,1,Minor,4,Highway,4,0,7028,3564,27846
Nissan,Altima,2020,13164,3,Severe,2,Urban,23,1,21318,38095,119660
Toyota,Corolla,2022,16462,4,Total Loss,1,Highway,13,1,15638,138385,216754
Tesla,Model 3,2024,52877,1,Minor,1,Urban,15,0,11017,1614,15869
Mazda,CX-5,2021,20344,2,Severe,1,Urban,8,0,25375,7106,35341
Tesla,Model Y,2023,41497,1,Moderate,4,Highway,12,0,27408,2253,63560
Jeep,Wrangler,2021,22779,1,Minor,3,Rural,13,0,4005,3064,12960
Mazda,CX-5,2023,26205,2,Minor,3,Urban,6,3,3727,4946,13229
Jeep,Wrangler,2024,41616,3,Moderate,4,Rural,20,8,18733,38152,95821
Chevrolet,Silverado,2023,28971,1,Minor,4,Highway,22,0,4976,3270,23659
Toyota,Corolla,2019,9442,1,Minor,4,Highway,14,0,2208,1631,8968
BMW,3 Series,2015,10354,1,Minor,4,Residential,16,0,3053,1702,7400
Chevrolet,Silverado,2018,16416,4,Total Loss,1,Highway,8,2,15595,69015,121231
Hyundai,Elantra,2019,11568,2,Moderate,4,Rural,17,1,7602,8860,28531
Toyota,Camry,2023,25847,3,Total Loss,3,Rural,18,6,24554,13122,71319
Tesla,Model 3,2020,24690,4,Total Loss,2,Rural,14,4,23455,45482,94407
Toyota,Corolla,2022,17918,1,Minor,4,Residential,21,0,2843,1461,8321
Honda,Civic,2015,5655,3,Severe,3,Rural,15,6,17714,29588,87672
Honda,Civic,2016,6339,3,Severe,3,Urban,0,6,18042,28334,111699
Ford,F-150,2019,24092,1,Moderate,3,Rural,23,0,13673,1804,29558
Jeep,Wrangler,2016,8994,3,Moderate,2,Urban,2,4,7968,19655,44452
Mazda,CX-5,2021,16900,2,Minor,3,Residential,3,2,2936,4192,11977
Honda,Civic,2024,30201,3,Moderate,1,Urban,2,0,12248,40558,72024
Nissan,Altima,2023,26344,3,Total Loss,4,Rural,5,6,25026,34071,122576
Toyota,Corolla,2017,8613,1,Minor,3,Residential,13,0,2145,3334,8736
Mazda,CX-5,2015,7872,4,Total Loss,1,Residential,22,0,7478,75552,105710
Jeep,Wrangler,2015,6532,1,Minor,2,Highway,2,0,2218,1928,7581
BMW,3 Series,2019,23553,4,Total Loss,4,Residential,1,2,22375,48435,155768
Toyota,Camry,2024,34614,4,Total Loss,3,Highway,12,5,32883,123959,338014
Mazda,CX-5,2020,13662,4,Severe,2,Rural,2,1,21967,139031,223239
Subaru,Outback,2020,18037,1,Minor,1,Urban,16,0,3123,1811,5651
Honda,Accord,2018,9914,1,Minor,3,Highway,8,0,2342,3016,10876
Toyota,Camry,2016,6646,4,Total Loss,4,Rural,4,6,6313,119752,255131
Subaru,Outback,2015,7371,4,Total Loss,3,Urban,11,0,7002,115762,197267
Hyundai,Elantra,2018,10105,4,Severe,1,Urban,23,0,19547,82051,147783
Ford,F-150,2023,50752,1,Minor,2,Urban,6,0,7590,2428,15788
Jeep,Wrangler,2022,26457,2,Moderate,3,Residential,3,5,13730,8446,41963
Mercedes-Benz,C-Class,2023,38846,2,Moderate,3,Highway,18,2,23646,5912,56686
Honda,Civic,2019,8906,1,Minor,1,Highway,9,0,2212,2789,7076
Ford,F-150,2019,14204,2,Severe,2,Urban,6,4,25226,8511,50976
Toyota,Corolla,2017,8454,4,Severe,2,Rural,20,1,18804,46534,76760
Mercedes-Benz,C-Class,2020,29013,4,Total Loss,4,Highway,23,5,27562,99614,394271
Jeep,Wrangler,2018,10606,4,Severe,2,Urban,16,0,21999,70501,121620
Honda,Accord,2024,22020,4,Total Loss,3,Residential,17,5,20919,76490,130327
Mercedes-Benz,C-Class,2017,18177,4,Total Loss,3,Highway,4,5,17268,100750,325599
Hyundai,Elantra,2023,22528,3,Total Loss,3,Urban,3,5,21401,18208,91932
Hyundai,Elantra,2016,5548,1,Minor,2,Highway,12,0,1916,2014,7256
Subaru,Outback,2024,30980,1,Minor,1,Rural,12,0,4288,1051,5958
Honda,Civic,2016,5944,2,Moderate,4,Rural,20,0,6426,10828,37171
Tesla,Model 3,2020,22896,2,Moderate,4,Residential,19,7,17363,13227,55497
Nissan,Altima,2021,15585,1,Moderate,1,Highway,2,0,8740,1633,15638
Toyota,Camry,2019,14529,2,Moderate,1,Residential,19,1,8486,12982,21726
Mercedes-Benz,C-Class,2020,30986,2,Minor,2,Urban,19,4,6457,11054,25171
Jeep,Wrangler,2021,21787,2,Severe,4,Residential,22,1,29379,6673,76683
Tesla,Model 3,2019,18159,2,Minor,1,Rural,14,2,4768,9680,15921
Nissan,Altima,2020,11367,4,Total Loss,3,Urban,8,2,10798,104109,194926
Jeep,Wrangler,2016,8666,1,Moderate,3,Highway,20,0,7859,1031,20784
Chevrolet,Silverado,2023,37328,2,Severe,2,Highway,23,1,41876,8865,97314
Nissan,Altima,2024,31375,2,Minor,3,Highway,18,5,4010,14357,37684
Tesla,Model 3,2020,25733,1,Minor,2,Rural,14,0,6131,3464,11239
Nissan,Altima,2016,6854,4,Severe,4,Residential,20,0,18289,85929,163664
BMW,3 Series,2018,19328,3,Severe,3,Residential,2,4,32395,14110,99225
Mazda,CX-5,2023,22446,1,Minor,3,Urban,21,0,3407,2391,9001
Hyundai,Elantra,2021,13449,3,Severe,3,Residential,12,3,21052,33869,75812
Honda,Civic,2019,14021,4,Severe,2,Residential,16,4,21730,56949,88963
Hyundai,Elantra,2019,9748,3,Total Loss,2,Residential,16,4,9260,22902,35850
Mercedes-Benz,C-Class,2015,10514,1,Moderate,1,Rural,18,0,10046,1162,12144
Tesla,Model Y,2024,59785,3,Severe,3,Rural,9,6,79567,34866,185906
Ford,F-150,2023,40647,2,Moderate,3,Urban,21,1,19632,6907,42814
Honda,Civic,2024,30165,4,Severe,1,Highway,23,2,29479,70872,156773
Honda,Civic,2024,23459,1,Minor,3,Urban,22,0,3376,1281,10873
Chevrolet,Silverado,2021,29892,4,Severe,4,Residential,8,5,36522,118013,302334
Hyundai,Elantra,2023,18847,2,Severe,2,Urban,18,0,23481,13833,61854
Honda,Civic,2020,11306,2,Moderate,1,Rural,12,1,7713,7220,15622
Honda,Civic,2024,29606,4,Severe,3,Rural,0,5,29210,69171,210707
Honda,Accord,2018,9022,4,Total Loss,1,Urban,21,1,8570,52237,76409
