City,Total Accidents,start_hour
Aaronsburg,2,9
Aaronsburg,1,10
Aaronsburg,3,14
Aaronsburg,1,15
Aaronsburg,1,16
Aaronsburg,1,18
Aaronsburg,1,19
Aaronsburg,2,23
Abbeville,9,0
Abbeville,2,1
Abbeville,4,2
Abbeville,2,3
Abbeville,8,4
Abbeville,9,5
Abbeville,16,6
Abbeville,23,7
Abbeville,9,8
Abbeville,16,9
Abbeville,6,10
Abbeville,8,11
Abbeville,8,12
Abbeville,7,13
Abbeville,6,14
Abbeville,16,15
Abbeville,11,16
Abbeville,9,17
Abbeville,7,18
Abbeville,7,19
Abbeville,7,20
Abbeville,7,22
Abbeville,7,23
Abbotsford,1,3
Abbotsford,1,4
Abbotsford,1,6
Abbotsford,1,8
Abbotsford,1,10
Abbott,1,7
Abbott,1,8
Abbottstown,2,4
Abbottstown,1,5
Abbottstown,3,7
Abbottstown,1,8
Abbottstown,2,9
Abbottstown,4,10
Abbottstown,3,11
Abbottstown,2,12
Abbottstown,1,13
Abbottstown,4,14
Abbottstown,8,15
Abbottstown,2,16
Abbottstown,3,17
Abbottstown,1,20
Abbottstown,2,21
Abbottstown,7,23
Aberdeen,5,0
Aberdeen,5,1
Aberdeen,9,2
Aberdeen,6,3
Aberdeen,19,4
Aberdeen,17,5
Aberdeen,35,6
Aberdeen,27,7
Aberdeen,23,8
Aberdeen,24,9
Aberdeen,35,10
Aberdeen,38,11
Aberdeen,29,12
Aberdeen,53,13
Aberdeen,42,14
Aberdeen,39,15
Aberdeen,25,16
Aberdeen,22,17
Aberdeen,17,18
Aberdeen,20,19
Aberdeen,26,20
Aberdeen,17,21
Aberdeen,12,22
Aberdeen,13,23
Abernathy,1,10
Abilene,1,2
Abilene,1,7
Abilene,1,8
Abilene,1,9
Abilene,2,10
Abilene,2,11
Abilene,1,12
Abilene,1,13
Abilene,4,14
Abilene,3,16
Abilene,1,19
Abilene,4,20
Abilene,3,21
Abilene,3,22
Abingdon,8,0
Abingdon,20,1
Abingdon,1,2
Abingdon,4,3
Abingdon,21,4
Abingdon,28,5
Abingdon,24,6
Abingdon,33,7
Abingdon,33,8
Abingdon,32,9
Abingdon,19,10
Abingdon,42,11
Abingdon,32,12
Abingdon,37,13
Abingdon,39,14
Abingdon,32,15
Abingdon,35,16
Abingdon,44,17
Abingdon,27,18
Abingdon,21,19
Abingdon,7,20
Abingdon,35,21
Abingdon,13,22
Abingdon,13,23
Abington,3,0
Abington,2,1
Abington,11,2
Abington,2,3
Abington,6,4
Abington,25,5
Abington,33,6
Abington,62,7
Abington,51,8
Abington,24,9
Abington,32,10
Abington,30,11
Abington,40,12
Abington,25,13
Abington,37,14
Abington,73,15
Abington,65,16
Abington,66,17
Abington,41,18
Abington,15,19
Abington,23,20
Abington,13,21
Abington,10,22
Abington,9,23
Abrams,2,9
Abrams,1,16
Absarokee,1,0
Absarokee,1,5
Absarokee,2,7
Absarokee,1,8
Absarokee,2,13
Absarokee,1,15
Absarokee,1,16
Absarokee,1,19
Absarokee,2,20
Absarokee,1,21
Absecon,4,1
Absecon,2,2
Absecon,2,4
Absecon,8,5
Absecon,4,6
Absecon,5,7
Absecon,2,8
Absecon,4,9
Absecon,5,10
Absecon,1,11
Absecon,5,12
Absecon,3,13
Absecon,5,14
Absecon,6,15
Absecon,1,16
Absecon,4,17
Absecon,12,18
Absecon,2,19
Absecon,7,20
Absecon,1,21
Absecon,1,22
Absecon,4,23
Acampo,10,0
Acampo,13,1
Acampo,10,2
Acampo,5,3
Acampo,13,4
Acampo,13,5
Acampo,31,6
Acampo,24,7
Acampo,23,8
Acampo,15,9
Acampo,7,10
Acampo,13,11
Acampo,20,12
Acampo,28,13
Acampo,24,14
Acampo,23,15
Acampo,27,16
Acampo,27,17
Acampo,15,18
Acampo,11,19
Acampo,14,20
Acampo,16,21
Acampo,21,22
Acampo,21,23
Accident,1,7
Accident,2,8
Accident,3,9
Accident,5,10
Accident,7,12
Accident,7,13
Accident,2,14
Accident,3,17
Accident,3,18
Accident,1,19
Accident,2,21
Accident,1,22
Accokeek,3,2
Accokeek,3,4
Accokeek,6,5
Accokeek,11,6
Accokeek,5,7
Accokeek,4,8
Accokeek,3,9
Accokeek,2,10
Accokeek,1,11
Accokeek,6,12
Accokeek,5,13
Accokeek,11,14
Accokeek,12,15
Accokeek,5,16
Accokeek,15,17
Accokeek,25,18
Accokeek,2,19
Accokeek,1,20
Accokeek,1,21
Accokeek,1,22
Accomac,2,7
Accomac,2,8
Accomac,1,10
Accomac,1,11
Accomac,1,13
Accomac,1,15
Accomac,1,16
Accomac,4,17
Accomac,2,18
Accomac,2,19
Accomac,1,20
Accomac,1,21
Accomac,2,22
Accord,1,18
Accord,2,22
Ackley,1,18
Acme,2,0
Acme,2,3
Acme,2,6
Acme,2,7
Acme,4,8
Acme,1,10
Acme,1,11
Acme,1,13
Acme,6,14
Acme,1,15
Acme,1,16
Acme,3,17
Acme,4,18
Acme,1,20
Acme,1,22
Acoma,1,1
Acoma,3,9
Acoma,1,15
Acoma,1,16
Acoma,1,18
Acosta,2,8
Acra,4,15
Acton,19,0
Acton,21,1
Acton,29,2
Acton,17,3
Acton,56,4
Acton,55,5
Acton,64,6
Acton,50,7
Acton,33,8
Acton,35,9
Acton,33,10
Acton,46,11
Acton,21,12
Acton,22,13
Acton,43,14
Acton,76,15
Acton,94,16
Acton,72,17
Acton,57,18
Acton,23,19
Acton,19,20
Acton,29,21
Acton,25,22
Acton,20,23
Acushnet,1,16
Acworth,7,0
Acworth,2,1
Acworth,2,2
Acworth,2,3
Acworth,8,4
Acworth,6,5
Acworth,16,6
Acworth,35,7
Acworth,11,8
Acworth,5,9
Acworth,12,10
Acworth,6,11
Acworth,23,12
Acworth,14,13
Acworth,19,14
Acworth,8,15
Acworth,9,16
Acworth,17,17
Acworth,15,18
Acworth,5,19
Acworth,4,20
Acworth,2,21
Acworth,1,22
Ada,3,4
Ada,7,5
Ada,10,6
Ada,18,7
Ada,10,8
Ada,7,9
Ada,5,10
Ada,3,11
Ada,4,12
Ada,3,13
Ada,4,14
Ada,1,15
Ada,5,16
Ada,6,17
Ada,1,18
Ada,1,19
Ada,1,20
Ada,1,21
Adah,2,9
Adah,1,17
Adah,2,19
Adair,2,1
Adair,6,2
Adair,2,3
Adair,1,4
Adair,1,6
Adair,1,7
Adair,1,8
Adair,5,10
Adair,2,13
Adair,4,14
Adair,5,15
Adair,7,16
Adair,1,17
Adair,1,18
Adair,4,19
Adair,2,20
Adair,1,21
Adair,3,22
Adair Village,1,2
Adairsville,1,2
Adairsville,1,5
Adairsville,7,6
Adairsville,10,7
Adairsville,3,8
Adairsville,4,9
Adairsville,3,10
Adairsville,8,11
Adairsville,9,13
Adairsville,7,14
Adairsville,9,15
Adairsville,6,16
Adairsville,9,17
Adairsville,9,18
Adairsville,3,19
Adairsville,2,20
Adairsville,2,22
Adairsville,2,23
Adams,1,0
Adams,1,1
Adams,3,2
Adams,3,3
Adams,2,4
Adams,8,5
Adams,6,6
Adams,6,7
Adams,4,8
Adams,1,10
Adams,5,11
Adams,4,13
Adams,2,14
Adams,4,15
Adams,13,16
Adams,3,17
Adams,2,18
Adams,3,19
Adams,1,20
Adams,12,21
Adams,2,22
Adams,4,23
Adams Center,2,14
Adams Center,2,17
Adams Center,1,18
Adams Run,1,7
Adams Run,2,13
Adams Run,1,15
Adams Run,1,16
Adams Run,1,17
Adams Run,1,22
Adamsburg,2,2
Adamsburg,2,3
Adamsburg,2,14
Adamsburg,1,15
Adamstown,3,3
Adamstown,2,6
Adamstown,2,7
Adamstown,1,10
Adamstown,6,11
Adamstown,12,13
Adamstown,6,23
Adamsville,1,7
Adamsville,1,10
Adamsville,1,11
Adamsville,1,12
Adamsville,1,13
Adamsville,1,16
Adamsville,1,19
Addis,1,1
Addis,1,4
Addis,1,9
Addis,1,12
Addis,3,14
Addis,1,16
Addis,1,23
Addison,3,1
Addison,4,2
Addison,10,3
Addison,20,4
Addison,37,5
Addison,56,6
Addison,110,7
Addison,108,8
Addison,4,9
Addison,16,10
Addison,9,11
Addison,6,12
Addison,7,13
Addison,10,14
Addison,80,15
Addison,71,16
Addison,60,17
Addison,35,18
Addison,9,19
Addison,7,20
Addison,11,21
Addison,9,22
Addison,2,23
Addy,1,14
Addy,1,15
Addy,1,16
Addyston,1,18
Adel,3,0
Adel,4,1
Adel,1,3
Adel,2,4
Adel,2,5
Adel,9,6
Adel,6,7
Adel,4,8
Adel,5,9
Adel,11,10
Adel,5,11
Adel,15,12
Adel,4,13
Adel,12,14
Adel,15,15
Adel,6,16
Adel,5,17
Adel,3,18
Adel,3,19
Adel,4,20
Adel,9,21
Adel,3,22
Adel,4,23
Adelanto,8,0
Adelanto,2,2
Adelanto,3,3
Adelanto,5,4
Adelanto,4,5
Adelanto,8,6
Adelanto,6,7
Adelanto,11,8
Adelanto,3,9
Adelanto,4,10
Adelanto,4,11
Adelanto,11,12
Adelanto,3,13
Adelanto,10,14
Adelanto,17,15
Adelanto,12,16
Adelanto,21,17
Adelanto,13,18
Adelanto,8,19
Adelanto,11,20
Adelanto,9,21
Adelanto,10,22
Adelanto,9,23
Adelphi,1,0
Adelphi,1,2
Adelphi,3,5
Adelphi,2,7
Adelphi,2,8
Adelphi,1,9
Adelphi,1,11
Adelphi,3,14
Adelphi,1,16
Adelphi,1,17
Adelphi,1,18
Adelphi,4,20
Adelphi,1,21
Adin,1,4
Adin,2,5
Adin,1,6
Adin,1,9
Adin,1,11
Adin,2,13
Adin,3,16
Adin,1,19
Adin,1,22
Adkins,1,5
Adrian,4,0
Adrian,12,1
Adrian,3,2
Adrian,7,4
Adrian,10,5
Adrian,13,6
Adrian,13,7
Adrian,8,8
Adrian,7,9
Adrian,7,10
Adrian,6,11
Adrian,1,12
Adrian,6,13
Adrian,6,14
Adrian,11,15
Adrian,7,16
Adrian,13,17
Adrian,16,18
Adrian,7,19
Adrian,11,20
Adrian,7,21
Adrian,8,22
Adrian,7,23
Advance,2,0
Advance,2,2
Advance,1,3
Advance,4,5
Advance,16,6
Advance,7,7
Advance,2,8
Advance,5,9
Advance,4,10
Advance,8,11
Advance,12,12
Advance,7,14
Advance,3,15
Advance,8,16
Advance,5,17
Advance,9,18
Advance,2,19
Advance,1,20
Advance,7,22
Advance,3,23
Afton,4,0
Afton,4,1
Afton,1,2
Afton,3,3
Afton,4,4
Afton,3,5
Afton,1,6
Afton,8,7
Afton,7,8
Afton,17,9
Afton,11,10
Afton,6,11
Afton,23,12
Afton,15,13
Afton,36,14
Afton,26,15
Afton,28,16
Afton,13,17
Afton,16,18
