State,City,Start_Lat,Start_Lng,Total Accidents,Sum of Estimated Accident Cost (Row)
AL,Abbeville,31.516481,-85.290886,1,80000
AL,Abbeville,31.528994,-85.291267,2,132000
AL,Abbeville,31.537451,-85.290024,2,224000
AL,Abbeville,31.545759000000004,-85.292328,1,96000
AL,Abbeville,31.550825,-85.284607,2,240000
AL,Abbeville,31.554529,-85.282951,1,80000
AL,Abbeville,31.588751,-85.27858,1,144000
AL,Abbeville,31.58987,-85.30453399999998,2,1920000
AL,Abbeville,31.593691,-85.29155,2,200000
AL,Abbeville,31.611074,-85.277245,1,88000
AL,Abbeville,31.616940000000003,-85.277458,1,80000
AL,Abbeville,31.634451,-85.227692,1,88000
AL,Abbeville,31.656111,-85.28044,2,240000
AL,Abbeville,31.667350530473385,-85.27970910031662,1,96000
AL,Abbeville,31.676012,-85.279645,1,96000
AL,Abbeville,31.676015000000003,-85.27937,2,1144000
AL,Abbeville,31.68959000000001,-85.27894599999998,2,216000
AL,Adamsville,33.582101,-86.922606,1,96000
AL,Adamsville,33.585545,-86.931885,1,144000
AL,Adamsville,33.585903,-86.932358,2,240000
AL,Adamsville,33.606818,-86.957027,1,80000
AL,Adamsville,33.625470399696226,-86.9468629356053,2,200000
AL,Addison,34.180229,-87.126808,1,96000
AL,Addison,34.180314,-87.127881,1,88000
AL,Addison,34.182209,-87.140953,1,120000
AL,Alabaster,33.173416,-86.777695,1,300000
AL,Alabaster,33.173508,-86.77774000000002,1,80000
AL,Alabaster,33.173611,-86.77777900000002,1,88000
AL,Alabaster,33.174297,-86.77806899999999,1,80000
AL,Alabaster,33.176,-86.77908199999997,2,240000
AL,Alabaster,33.17624,-86.77918000000003,2,176000
AL,Alabaster,33.176572,-86.778979,2,216000
AL,Alabaster,33.176739000000005,-86.779037,1,450000
AL,Alabaster,33.179331,-86.780061,1,80000
AL,Alabaster,33.184334,-86.782031,2,264000
AL,Alabaster,33.184348,-86.782645,1,80000
AL,Alabaster,33.184349,-86.782645,2,264000
AL,Alabaster,33.185627000000004,-86.804413,1,144000
AL,Alabaster,33.186653,-86.78363,1,250000
AL,Alabaster,33.188056,-86.784157,3,304000
AL,Alabaster,33.189659000000006,-86.78412,2,240000
AL,Alabaster,33.189712,-86.784689,1,120000
AL,Alabaster,33.190334,-86.784871,1,120000
AL,Alabaster,33.1915,-86.78482199999998,2,192000
AL,Alabaster,33.191522,-86.785225,1,88000
AL,Alabaster,33.191523,-86.785225,1,144000
AL,Alabaster,33.191885,-86.784971,1,88000
AL,Alabaster,33.192005,-86.78537,1,300000
AL,Alabaster,33.193495,-86.785616,3,336000
AL,Alabaster,33.197643,-86.787239,1,250000
AL,Alabaster,33.200191,-86.788489,2,176000
AL,Alabaster,33.200291,-86.788536,1,375000
AL,Alabaster,33.200817,-86.789139,1,250000
AL,Alabaster,33.201138,-86.789079,1,144000
AL,Alabaster,33.201139000000005,-86.789079,3,1684000
AL,Alabaster,33.201683,-86.789429,1,250000
AL,Alabaster,33.201746,-86.82751999999998,1,80000
AL,Alabaster,33.201851,-86.78984799999998,1,120000
AL,Alabaster,33.202099,-86.790024,1,96000
AL,Alabaster,33.202222,-86.827848,1,144000
AL,Alabaster,33.202831,-86.790611,1,275000
AL,Alabaster,33.203216999999995,-86.790611,1,250000
AL,Alabaster,33.204971,-86.792412,1,80000
AL,Alabaster,33.206047,-86.793312,1,275000
AL,Alabaster,33.20668,-86.793541,1,275000
AL,Alabaster,33.206716,-86.79389499999998,13,1520000
AL,Alabaster,33.206796999999995,-86.793648,1,144000
AL,Alabaster,33.206862,-86.793701,1,96000
AL,Alabaster,33.206882,-86.794033,1,80000
AL,Alabaster,33.207427,-86.794489,4,368000
AL,Alabaster,33.207478,-86.794219,3,248000
AL,Alabaster,33.207962,-86.794922,1,450000
AL,Alabaster,33.208218,-86.795135,1,300000
AL,Alabaster,33.20874,-86.795578,1,275000
AL,Alabaster,33.209232,-86.79599,1,275000
AL,Alabaster,33.209567,-86.795978,1,88000
AL,Alabaster,33.209739,-86.79643399999998,3,328000
