City,Severity,Total Accidents
Aaronsburg,2,12
Abbeville,1,4
Abbeville,2,195
Abbeville,4,5
Abbotsford,2,5
Abbott,3,2
Abbottstown,2,40
Abbottstown,4,6
Aberdeen,1,2
Aberdeen,2,497
Aberdeen,3,30
Aberdeen,4,29
Abernathy,2,1
Abilene,2,23
Abilene,3,2
Abilene,4,3
Abingdon,1,2
Abingdon,2,497
Abingdon,3,57
Abingdon,4,44
Abington,1,76
Abington,2,620
Abington,3,1
Abington,4,1
Abrams,2,3
Absarokee,2,13
Absecon,2,82
Absecon,3,1
Absecon,4,5
Acampo,1,2
Acampo,2,420
Acampo,4,2
Accident,2,27
Accident,3,2
Accident,4,8
Accokeek,1,1
Accokeek,2,119
Accokeek,4,2
Accomac,2,18
Accomac,4,3
Accord,2,2
Accord,4,1
Ackley,2,1
Acme,2,31
Acme,3,1
Acoma,2,7
Acosta,2,2
Acra,2,2
Acra,4,2
Acton,1,18
Acton,2,933
Acton,3,4
Acton,4,4
Acushnet,2,1
Acworth,1,1
Acworth,2,164
Acworth,3,53
Acworth,4,11
Ada,1,5
Ada,2,82
Ada,3,1
Ada,4,2
Adah,2,3
Adah,4,2
Adair,2,40
Adair,3,6
Adair,4,3
Adair Village,2,1
Adairsville,2,77
Adairsville,3,11
Adairsville,4,7
Adams,2,85
Adams,3,1
Adams,4,4
Adams Center,2,5
Adams Run,2,7
Adamsburg,2,2
Adamsburg,4,5
Adamstown,2,24
Adamstown,4,8
Adamsville,2,7
Addis,2,7
Addis,4,2
Addison,1,55
Addison,2,530
Addison,3,92
Addison,4,7
Addy,2,3
Addyston,2,1
Adel,2,114
Adel,3,16
Adel,4,5
Adelanto,1,1
Adelanto,2,188
Adelanto,3,1
Adelanto,4,2
Adelphi,2,20
Adelphi,3,1
Adelphi,4,1
Adin,2,13
Adkins,2,1
Adrian,2,180
Adrian,3,4
Adrian,4,6
Advance,2,85
Advance,3,11
Advance,4,12
Afton,1,1
Afton,2,231
Afton,3,4
Afton,4,26
Agate,2,16
Agate,3,6
Agate,4,1
Agawam,1,1
Agency,2,5
Agency,4,1
Agoura Hills,1,3
Agoura Hills,2,425
Aguila,2,4
Aguila,4,1
Aguilar,2,14
Aguilar,3,7
Aguilar,4,1
Ahoskie,2,23
Ahoskie,4,7
Ahwahnee,2,58
Ahwahnee,4,1
Aiken,1,15
Aiken,2,995
Aiken,3,25
Aiken,4,8
Ailey,2,3
Ailey,4,1
Ainsworth,2,13
Ainsworth,4,1
Airmont,2,5
Airville,1,2
Airville,2,15
Airville,4,4
Airway Heights,2,9
Airway Heights,3,1
Aitkin,1,3
Aitkin,2,162
Ajo,1,1
Ajo,2,97
Ajo,4,6
Akeley,2,88
Akron,1,28
Akron,2,855
Akron,3,666
Akron,4,17
Alabaster,1,2
Alabaster,2,189
Alabaster,3,72
Alabaster,4,6
Alachua,2,300
Alachua,3,43
Alachua,4,4
Alameda,2,27
Alamo,1,8
Alamo,2,570
Alamo,3,117
Alamo,4,4
Alamogordo,2,3
Alamosa,2,26
Alamosa,4,12
Alanson,1,1
Alanson,2,10
Alanson,4,8
Alapaha,2,5
Alapaha,4,1
Albany,1,5
Albany,2,2605
Albany,3,171
Albany,4,71
Albemarle,2,15
Albemarle,4,3
Albers,2,2
Albers,3,12
Albers,4,1
Albert City,2,4
Albert City,4,2
Albert Lea,2,399
Albert Lea,3,6
Albert Lea,4,1
Alberta,2,100
Alberta,3,15
Alberta,4,11
Alberton,2,147
Alberton,4,3
Albertson,2,26
Albertson,4,5
Albertville,2,190
Albertville,3,13
Albertville,4,1
Albia,2,2
Albia,4,4
Albin,2,1
Albion,2,129
Albion,3,7
Albion,4,20
Albrightsville,2,6
Albrightsville,4,1
Albuquerque,1,101
Albuquerque,2,1455
Albuquerque,3,467
Albuquerque,4,17
Alburgh,2,2
Alburgh,4,2
Alburtis,2,1
Alcoa,2,29
Alcoa,4,1
Alcolu,1,1
Alcolu,2,165
Alcolu,3,16
Alcolu,4,8
Alcove,2,2
Alda,2,1
Alda,3,2
Aldan,2,8
Alden,2,71
Alden,4,3
Alder,2,1
Alder Creek,2,5
Alderpoint,1,1
Alderpoint,2,23
Alderson,2,1
Aldie,1,5
Aldie,2,180
Aldie,3,4
Aldie,4,19
Aldrich,2,12
Aledo,2,74
Aledo,3,24
Aledo,4,2
Alexander,2,40
Alexander,3,3
Alexander,4,6
Alexander City,2,15
Alexandria,1,9
Alexandria,2,3065
Alexandria,3,326
Alexandria,4,59
Alexandria Bay,2,4
Alexandria Bay,3,1
Alexandria Bay,4,1
Alexis,4,1
Alford,2,42
Alford,4,3
Alfred,2,2
Alfred Station,2,2
Alger,2,4
Algodones,2,9
Algodones,3,2
Algodones,4,2
Algona,2,1
Algonac,2,2
Algonquin,1,1
Algonquin,2,13
Alhambra,2,888
Alhambra,3,216
Alhambra,4,3
Aliceville,2,4
Aliquippa,2,33
Aliquippa,3,4
Aliquippa,4,5
Aliso Viejo,2,144
Aliso Viejo,4,1
Allegan,2,2
Allegan,4,3
Allegany,2,4
Allegany,3,2
Allegany,4,2
Alleghany,1,1
Alleghany,2,1
Allen,2,280
Allen,3,2
Allen,4,3
Allen Park,1,1
Allen Park,2,198
Allen Park,3,51
Allen Park,4,4
Allendale,1,11
Allendale,2,118
Allendale,4,2
Allenhurst,2,1
Allenhurst,4,2
Allenstown,1,1
Allensville,2,15
Allenton,2,24
Allenton,3,10
Allenton,4,1
Allentown,1,10
Allentown,2,968
Allentown,3,133
Allentown,4,35
Allenwood,2,133
Allenwood,3,1
Allenwood,4,7
Alleyton,2,4
Alleyton,3,1
Alleyton,4,2
Alliance,1,3
Alliance,2,15
Alliance,4,1
Allison,2,1
Allison Park,1,1
Allison Park,2,25
Allison Park,3,1
Allison Park,4,4
Allons,2,2
Allons,4,1
Allport,2,9
Allston,1,11
Allston,2,96
Allston,3,29
Allyn,2,14
Allyn,4,2
Alma,2,65
Alma,3,13
Alma,4,16
Almond,2,6
Almond,4,2
Almont,2,3
Almont,4,1
Almyra,4,1
Alpaugh,2,9
Alpena,2,12
Alpena,4,4
Alpha,2,21
Alpha,3,4
Alpharetta,1,1
Alpharetta,2,172
Alpharetta,4,3
Alpine,1,1
Alpine,2,96
Alpine,3,1
Alpine,4,10
Alpine Meadows,2,8
Alplaus,2,1
Alplaus,4,3
Alsea,2,42
Alsea,4,3
Alsip,2,117
Alsip,3,50
Alsip,4,1
Alstead,2,1
Alta,2,464
Alta,3,24
Alta,4,8
Alta Vista,2,3
Alta Vista,4,1
Altadena,1,6
Altadena,2,440
Altadena,3,6
Altamont,2,32
Altamont,3,9
Altamont,4,1
Altamonte Springs,1,1
Altamonte Springs,2,572
Altamonte Springs,3,37
Altamonte Springs,4,7
Altavista,2,37
Altavista,4,5
Altha,1,1
Altha,2,35
Altha,3,1
Altha,4,1
Altheimer,2,2
Altheimer,4,2
Altmar,2,3
Altmar,4,1
Alto,1,7
Alto,2,32
Alto,4,3
Alton,2,45
Alton,3,2
Alton,4,4
Alton Bay,2,2
Altona,2,1
Altoona,1,17
Altoona,2,1026
Altoona,3,52
Altoona,4,28
Altura,2,19
Altura,4,1
Alturas,2,98
Alturas,4,1
Altus,2,3
Altus,4,2
Alum Bank,1,1
Alum Bank,2,61
Alum Bank,3,1
Alum Bank,4,2
Alum Creek,2,11
Alva,1,10
Alva,2,155
Alva,3,2
Alva,4,3
Alvada,2,1
Alvarado,2,38
Alvarado,3,9
Alvaton,2,1
Alverda,4,1
Alverton,2,2
Alverton,4,2
Alvin,2,10
Alvin,3,1
Alviso,2,32
Alviso,3,1
Alzada,2,15
Alzada,4,3
Amador City,2,4
Amagansett,2,13
Amagansett,4,2
Amagon,2,3
Amana,2,3
Amana,4,1
Amanda,2,2
Amanda Park,2,2
Amargosa Valley,2,7
Amargosa Valley,4,3
Amarillo,1,1
Amarillo,2,25
Amarillo,3,1
Amarillo,4,6
Amawalk,2,16
Amazonia,2,4
Ambler,1,19
Ambler,2,625
Ambler,3,3
Ambler,4,3
Amboy,1,1
Amboy,2,37
Amboy,3,1
Ambridge,2,17
Ambridge,4,7
Ambrose,2,3
Ambrose,4,1
Amelia,2,21
Amelia,3,1
Amelia Court House,2,138
Amelia Court House,3,1
Amelia Court House,4,51
Amenia,2,49
American Canyon,1,6
American Canyon,2,332
American Canyon,3,32
American Canyon,4,2
American Falls,2,13
American Falls,4,2
American Fork,1,8
American Fork,2,269
American Fork,3,82
American Fork,4,6
Americus,2,6
Americus,4,1
Amery,2,2
Ames,2,155
Ames,3,18
Ames,4,11
Amesbury,1,1
Amesbury,2,18
Amesbury,3,4
Amherst,2,120
Amherst,3,57
Amherst,4,13
Amherst Junction,2,2
Amidon,2,6
Amissville,2,10
Amissville,4,3
Amite,2,1
Amity,2,72
Amity,4,6
Amityville,2,131
Amityville,3,1
Amityville,4,5
Amma,2,7
Amsterdam,2,155
Amsterdam,3,5
Amsterdam,4,2
Amston,2,9
Amston,4,4
Anacoco,2,1
Anaconda,2,182
Anaconda,4,4
Anacortes,2,45
Anacortes,3,2
Anacortes,4,5
Anaheim,1,24
Anaheim,2,6549
Anaheim,3,166
Anaheim,4,12
Anaheim-Santa Ana-Garden Grove,2,2
Anahuac,2,2
Anahuac,3,3
Analomink,2,1
Anamoose,2,2
Anamosa,2,18
Anamosa,3,1
Anamosa,4,2
Anatone,2,2
Ancram,2,38
Ancramdale,2,4
Andalusia,2,24
Andalusia,3,1
Andalusia,4,2
Anderson,1,282
Anderson,2,3918
Anderson,3,85
Anderson,4,40
Andersonville,1,1
Andersonville,2,42
Andersonville,3,3
Andes,1,1
Andes,2,5
Andes,4,2
Andover,1,2
Andover,2,343
Andover,3,136
Andover,4,13
Andreas,2,3
Andrews,1,14
Andrews,2,195
Andrews,4,14
Andrews Air Force Base,1,1
Andrews Air Force Base,2,83
Aneta,2,2
Aneth,2,19
Angel Fire,2,1
Angels Camp,2,151
Angier,2,59
Angier,4,17
Angleton,2,22
Angola,2,86
Angola,3,1
Angola,4,2
Angora,2,18
Angora,4,1
Angwin,1,1
Angwin,2,55
Angwin,4,1
Anita,2,60
Anita,3,5
Anita,4,5
Aniwa,2,1
Aniwa,4,1
Ankeny,2,147
Ankeny,3,23
Ankeny,4,10
Ann Arbor,1,3
Ann Arbor,2,626
Ann Arbor,3,57
Ann Arbor,4,47
Anna,2,42
Anna,3,12
Anna,4,1
Anna Maria,2,4
Annandale,1,3
Annandale,2,645
Annandale,3,115
Annandale,4,9
Annapolis,1,8
Annapolis,2,722
Annapolis,3,18
Annapolis,4,33
Annapolis Junction,1,2
Annapolis Junction,2,81
Annapolis Junction,3,2
Annapolis Junction,4,1
Anniston,1,4
Anniston,2,67
Anniston,3,18
Anniston,4,4
Annville,1,1
Annville,2,161
Annville,3,17
Annville,4,24
Anoka,1,12
Anoka,2,513
Anoka,3,3
Anoka,4,8
Ansley,2,1
Ansley,4,1
Anson,2,1
Ansonia,2,32
Ansonia,4,4
Ansted,2,2
Antelope,1,5
Antelope,2,669
Antelope,4,6
Anthem,2,6
Anthony,2,40
Antigo,2,2
Antimony,2,5
Antioch,1,85
Antioch,2,3609
Antioch,3,198
Antioch,4,17
Anton,2,1
Anton,4,1
Anton Chico,2,3
Anton Chico,4,1
Antonito,2,8
Antonito,4,3
Antrim,2,2
Antwerp,2,2
Apache Junction,1,2
Apache Junction,2,75
Apache Junction,4,1
Apalachin,2,16
Apex,1,27
Apex,2,760
Apex,3,5
Apex,4,18
Apison,1,1
Apison,2,47
Apollo,2,81
Apollo,4,17
Apollo Beach,1,6
Apollo Beach,2,189
Apollo Beach,3,73
Apollo Beach,4,3
Apopka,1,11
Apopka,2,1061
Apopka,3,8
Apopka,4,8
Apple Creek,2,3
Apple Valley,1,3
Apple Valley,2,397
Apple Valley,3,18
Apple Valley,4,2
Applegate,2,80
Applegate,3,4
Applegate,4,3
Appleton,2,163
Appleton,3,52
Appleton,4,10
Appling,2,12
Appling,3,2
Appomattox,2,32
Appomattox,4,12
Aptos,1,14
Aptos,2,705
Aptos,3,1
Aptos,4,1
Aquasco,2,1
Arab,2,23
Arabi,2,13
Arabi,3,3
Arabi,4,1
Arapahoe,2,3
Ararat,2,6
Ararat,4,5
Arbuckle,1,2
