Start_Lng,Start_Lat,City
-124.548074,47.903611,Forks
-124.541015,48.350585,Sekiu
-124.539056,47.906787,Forks
-124.535726,48.348539,Sekiu
-124.531602,48.348341,Sekiu
-124.511949,42.817454,Sixes
-124.49758500000002,42.760193,Port Orford
-124.497448,42.76927,Port Orford
-124.497414,42.745338,Port Orford
-124.497357,42.745033,Port Orford
-124.496657,42.773333,Port Orford
-124.494591,42.785098,Port Orford
-124.493147,42.79019,Port Orford
-124.489119,42.794421,Port Orford
-124.486308,42.799306,Port Orford
-124.486275,42.79937,Port Orford
-124.485966,42.801573,Port Orford
-124.484914,42.805618,Port Orford
-124.484797,42.740736,Port Orford
-124.483021,42.826413,Sixes
-124.482434,42.810486,Sixes
-124.481864,42.738207,Port Orford
-124.478722,42.833638,Sixes
-124.478506,42.737273,Port Orford
-124.47837,42.835275,Sixes
-124.477152,42.840061,Sixes
-124.476527,42.841326,Sixes
-124.475867,42.842652,Sixes
-124.474383,42.846373,Sixes
-124.474379,42.736495,Port Orford
-124.473825,42.736192,Port Orford
-124.473207,42.7357,Port Orford
-124.47319865167393,42.73571133593208,Port Orford
-124.472569,42.853126,Sixes
-124.47167,42.855266,Sixes
-124.470576,42.857993,Sixes
-124.468337,42.873137,Langlois
-124.46765,42.870179,Langlois
-124.466617,42.720748,Port Orford
-124.466616,42.865127,Langlois
-124.466596,42.725322,Port Orford
-124.46638,42.867448,Langlois
-124.466294,42.722558,Port Orford
-124.465529,42.881565,Langlois
-124.465157,42.71843300000001,Port Orford
-124.464401,42.718205,Port Orford
-124.462832,42.887585,Langlois
-124.460181,42.712138,Port Orford
-124.458295,42.904123,Langlois
-124.45826411187906,42.708009481226405,Port Orford
-124.457201,42.704063,Port Orford
-124.456592,42.909159,Langlois
-124.45533799999998,42.911499,Langlois
-124.45533,42.911497,Langlois
-124.450821,42.918541,Langlois
-124.450048,42.923253,Langlois
-124.450033,42.923413,Langlois
-124.449393,42.932579,Langlois
-124.44781100000002,42.936095,Langlois
-124.445113,42.942072,Langlois
-124.444748,42.686714,Port Orford
-124.439141,42.953074,Langlois
-124.436611,42.956226,Bandon
-124.434527,42.959333,Bandon
-124.433993,42.688273,Port Orford
-124.43397402704028,42.688268422876895,Port Orford
-124.433592,42.68797,Port Orford
-124.430507,42.433872,Gold Beach
-124.430039,42.434902,Gold Beach
-124.429653,42.96465900000001,Bandon
-124.428923,42.429469,Gold Beach
-124.428679,42.687179,Port Orford
-124.428488,42.687043,Port Orford
-124.426446,42.97175,Bandon
-124.425865,42.44413,Gold Beach
-124.425293,42.975084,Bandon
-124.42527,42.428891,Gold Beach
-124.423677,42.978077,Bandon
-124.42344,42.449457,Gold Beach
-124.423021,42.68432,Port Orford
-124.422848,42.388166,Gold Beach
-124.422821,42.38825,Gold Beach
-124.422726,42.395527,Gold Beach
-124.422701,42.39572800000001,Gold Beach
-124.422675,42.395915,Gold Beach
-124.422274,42.390008,Gold Beach
